epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,2201.23,1.01918,1.15147,1.23573,0.87047,0.92312,0.92849,0.45236,1.782,1.59087,2.18685,0.000268938,0.000268938,0.000268938
84,2226.07,1.04149,1.15124,1.20662,0.87168,0.93244,0.9384,0.4556,1.81498,1.59793,2.26306,0.000254791,0.000254791,0.000254791
85,2250.07,1.04029,1.29566,1.21457,0.87168,0.93244,0.9384,0.4556,1.81498,1.59793,2.26306,0.000240644,0.000240644,0.000240644
86,2275,1.04794,1.38089,1.24144,0.87234,0.936,0.94754,0.44658,1.82961,1.57236,2.2846,0.000226497,0.000226497,0.000226497
87,2299.81,0.97435,1.11782,1.18251,0.86871,0.94865,0.95295,0.4496,1.83413,1.55352,2.28331,0.000212349,0.000212349,0.000212349
88,2324.52,0.92507,1.15326,1.16069,0.87784,0.95274,0.95493,0.45695,1.83828,1.5453,2.29015,0.000198202,0.000198202,0.000198202
89,2348.69,0.93207,1.09503,1.12507,0.87784,0.95274,0.95493,0.45695,1.83828,1.5453,2.29015,0.000184055,0.000184055,0.000184055
90,2373.93,1.07688,1.30806,1.26042,0.87928,0.95767,0.94715,0.44342,1.81856,1.57344,2.25025,0.000169908,0.000169908,0.000169908
91,2400.42,1.01795,1.29488,1.26647,0.87755,0.94984,0.945,0.4472,1.80865,1.57347,2.23204,0.000155761,0.000155761,0.000155761
92,2424.66,1.00676,1.27866,1.31204,0.91561,0.98967,0.96722,0.44168,1.79147,1.5899,2.21241,0.000141614,0.000141614,0.000141614
93,2449.05,0.92471,1.22645,1.24272,0.91561,0.98967,0.96722,0.44168,1.79147,1.5899,2.21241,0.000127467,0.000127467,0.000127467
94,2473.66,0.99392,1.34314,1.28418,0.91355,0.98859,0.96278,0.47283,1.77987,1.59397,2.19515,0.00011332,0.00011332,0.00011332
95,2497.92,0.89775,1.20368,1.12698,0.91317,0.98782,0.95352,0.46435,1.80278,1.62696,2.2079,9.91726e-05,9.91726e-05,9.91726e-05
96,2522.78,0.95668,1.19973,1.15201,0.91281,0.98699,0.95352,0.46234,1.8178,1.64797,2.21049,8.50255e-05,8.50255e-05,8.50255e-05
97,2547.38,0.9378,1.23814,1.17218,0.91281,0.98699,0.95352,0.46234,1.8178,1.64797,2.21049,7.08784e-05,7.08784e-05,7.08784e-05
98,2572.46,0.97451,1.18735,1.14791,0.91356,0.988,0.95352,0.44539,1.82208,1.64118,2.20276,5.67313e-05,5.67313e-05,5.67313e-05
99,2597.04,1.02887,1.3752,1.31675,0.91333,0.98862,0.95352,0.45605,1.8321,1.63226,2.20014,4.25842e-05,4.25842e-05,4.25842e-05
100,2621.91,0.92511,1.24146,1.18555,0.91392,0.99044,0.95352,0.45755,1.83723,1.62056,2.20224,2.84371e-05,2.84371e-05,2.84371e-05
